文件夹 CSVD001 的像素统计结果：
    类别 5.0: 2071078 像素点
    类别 6.0: 12781 像素点
    类别 7.0: 406844 像素点
    类别 8.0: 47792 像素点
    类别 9.0: 47596 像素点
    类别 10.0: 2110 像素点
文件夹 QJGZ008 的像素统计结果：
    类别 0.0: 7612944 像素点
    类别 1.0: 519250 像素点
    类别 2.0: 687651 像素点
    类别 3.0: 185094 像素点
    类别 5.0: 1947159 像素点
    类别 6.0: 14498 像素点
    类别 7.0: 445973 像素点
    类别 8.0: 70522 像素点
    类别 9.0: 49638 像素点
    类别 10.0: 1607 像素点
文件夹 QJGZ009 的像素统计结果：
    类别 0.0: 7565672 像素点
    类别 1.0: 524871 像素点
    类别 2.0: 715664 像素点
    类别 3.0: 203613 像素点
    类别 5.0: 1939233 像素点
    类别 6.0: 10683 像素点
    类别 7.0: 436099 像素点
    类别 8.0: 89283 像素点
    类别 9.0: 46927 像素点
    类别 10.0: 2291 像素点
文件夹 QJGZ010 的像素统计结果：
    类别 0.0: 6999284 像素点
    类别 1.0: 727209 像素点
    类别 2.0: 944341 像素点
    类别 3.0: 329823 像素点
    类别 5.0: 2750917 像素点
    类别 6.0: 21685 像素点
    类别 7.0: 592037 像素点
    类别 8.0: 161237 像素点
    类别 9.0: 52649 像素点
    类别 10.0: 3730 像素点
文件夹 QJGZ011 的像素统计结果：
    类别 0.0: 7007240 像素点
    类别 1.0: 547567 像素点
    类别 2.0: 733289 像素点
    类别 3.0: 269090 像素点
    类别 5.0: 2280288 像素点
    类别 6.0: 14333 像素点
    类别 7.0: 501887 像素点
    类别 8.0: 129948 像素点
    类别 9.0: 48354 像素点
    类别 10.0: 2340 像素点
文件夹 QJGZ012 的像素统计结果：
    类别 0.0: 7750515 像素点
    类别 1.0: 493653 像素点
    类别 2.0: 643301 像素点
    类别 3.0: 214987 像素点
    类别 5.0: 1918831 像素点
    类别 6.0: 12766 像素点
    类别 7.0: 349622 像素点
    类别 8.0: 104021 像素点
    类别 9.0: 44471 像素点
    类别 10.0: 2169 像素点
文件夹 QJGZ013 的像素统计结果：
    类别 0.0: 7520768 像素点
    类别 1.0: 507653 像素点
    类别 2.0: 676962 像素点
    类别 3.0: 215032 像素点
    类别 5.0: 2095128 像素点
    类别 6.0: 11376 像素点
    类别 7.0: 375631 像素点
    类别 8.0: 82181 像素点
    类别 9.0: 47648 像素点
    类别 10.0: 1957 像素点
文件夹 QJGZ014 的像素统计结果：
    类别 0.0: 7377237 像素点
    类别 1.0: 528150 像素点
    类别 2.0: 730945 像素点
    类别 3.0: 237048 像素点
    类别 5.0: 2114467 像素点
    类别 6.0: 11822 像素点
    类别 7.0: 388403 像素点
    类别 8.0: 94540 像素点
    类别 9.0: 49521 像素点
    类别 10.0: 2203 像素点
文件夹 QJGZ015 的像素统计结果：
    类别 0.0: 7868934 像素点
    类别 1.0: 506188 像素点
    类别 2.0: 649904 像素点
    类别 3.0: 177769 像素点
    类别 5.0: 1804329 像素点
    类别 6.0: 11056 像素点
    类别 7.0: 391130 像素点
    类别 8.0: 74878 像素点
    类别 9.0: 47972 像素点
    类别 10.0: 2176 像素点
文件夹 QJGZ016 的像素统计结果：
    类别 0.0: 6947934 像素点
    类别 1.0: 672127 像素点
    类别 2.0: 903094 像素点
    类别 3.0: 317068 像素点
    类别 5.0: 2994428 像素点
    类别 6.0: 17457 像素点
    类别 7.0: 528944 像素点
    类别 8.0: 137601 像素点
    类别 9.0: 61122 像素点
    类别 10.0: 3137 像素点
文件夹 QJGZ017 的像素统计结果：
    类别 0.0: 7399036 像素点
    类别 1.0: 528789 像素点
    类别 2.0: 696718 像素点
    类别 3.0: 224617 像素点
    类别 5.0: 2172944 像素点
    类别 6.0: 11812 像素点
    类别 7.0: 376160 像素点
    类别 8.0: 80772 像素点
    类别 9.0: 41190 像素点
    类别 10.0: 2298 像素点
文件夹 QJGZ018 的像素统计结果：
    类别 0.0: 6828118 像素点
    类别 1.0: 628894 像素点
    类别 2.0: 813851 像素点
    类别 3.0: 263288 像素点
    类别 5.0: 2346766 像素点
    类别 6.0: 12179 像素点
    类别 7.0: 421042 像素点
    类别 8.0: 164143 像素点
    类别 9.0: 53820 像素点
    类别 10.0: 2235 像素点
文件夹 QJGZ019 的像素统计结果：
    类别 0.0: 7712863 像素点
    类别 1.0: 638259 像素点
    类别 2.0: 878058 像素点
    类别 3.0: 253626 像素点
    类别 5.0: 2398202 像素点
    类别 6.0: 15168 像素点
    类别 7.0: 521157 像素点
    类别 8.0: 103102 像素点
    类别 9.0: 60168 像素点
    类别 10.0: 2309 像素点
文件夹 QJGZ020 的像素统计结果：
    类别 0.0: 7886464 像素点
    类别 1.0: 630107 像素点
    类别 2.0: 819966 像素点
    类别 3.0: 262857 像素点
    类别 5.0: 2402821 像素点
    类别 6.0: 14441 像素点
    类别 7.0: 431341 像素点
    类别 8.0: 75856 像素点
    类别 9.0: 56683 像素点
    类别 10.0: 2376 像素点
文件夹 QJGZ021 的像素统计结果：
    类别 0.0: 7901091 像素点
    类别 1.0: 601024 像素点
    类别 2.0: 811055 像素点
    类别 3.0: 228917 像素点
    类别 5.0: 2436749 像素点
    类别 6.0: 15181 像素点
    类别 7.0: 455874 像素点
    类别 8.0: 72787 像素点
    类别 9.0: 57891 像素点
    类别 10.0: 2343 像素点
文件夹 QJGZ022 的像素统计结果：
    类别 0.0: 7697500 像素点
    类别 1.0: 644745 像素点
    类别 2.0: 885611 像素点
    类别 3.0: 229428 像素点
    类别 5.0: 2437068 像素点
    类别 6.0: 15964 像素点
    类别 7.0: 481895 像素点
    类别 8.0: 130516 像素点
    类别 9.0: 57711 像素点
    类别 10.0: 2474 像素点
文件夹 QJGZ023 的像素统计结果：
    类别 0.0: 7537702 像素点
    类别 1.0: 536756 像素点
    类别 2.0: 723047 像素点
    类别 3.0: 229008 像素点
    类别 5.0: 1873588 像素点
    类别 6.0: 13358 像素点
    类别 7.0: 420694 像素点
    类别 8.0: 149760 像素点
    类别 9.0: 48211 像素点
    类别 10.0: 2212 像素点
文件夹 QJGZ024 的像素统计结果：
    类别 0.0: 7519215 像素点
    类别 1.0: 510380 像素点
    类别 2.0: 681363 像素点
    类别 3.0: 210215 像素点
    类别 5.0: 2026915 像素点
    类别 6.0: 12091 像素点
    类别 7.0: 464493 像素点
    类别 8.0: 59587 像素点
    类别 9.0: 47841 像素点
    类别 10.0: 2236 像素点
文件夹 QJGZ025 的像素统计结果：
    类别 0.0: 7572003 像素点
    类别 1.0: 577884 像素点
    类别 2.0: 770004 像素点
    类别 3.0: 284494 像素点
    类别 5.0: 2686857 像素点
    类别 6.0: 17516 像素点
    类别 7.0: 528713 像素点
    类别 8.0: 88877 像素点
    类别 9.0: 53818 像素点
    类别 10.0: 2746 像素点
文件夹 QJGZ026 的像素统计结果：
    类别 0.0: 7719726 像素点
    类别 1.0: 568531 像素点
    类别 2.0: 776154 像素点
    类别 3.0: 262592 像素点
    类别 5.0: 2445363 像素点
    类别 6.0: 14932 像素点
    类别 7.0: 623880 像素点
    类别 8.0: 116649 像素点
    类别 9.0: 52956 像素点
    类别 10.0: 2129 像素点
文件夹 QJGZ027 的像素统计结果：
    类别 0.0: 7226465 像素点
    类别 1.0: 627743 像素点
    类别 2.0: 796043 像素点
    类别 3.0: 238147 像素点
    类别 5.0: 2074632 像素点
    类别 6.0: 14075 像素点
    类别 7.0: 399764 像素点
    类别 8.0: 103561 像素点
    类别 9.0: 51546 像素点
    类别 10.0: 2360 像素点
文件夹 QJGZ028 的像素统计结果：
    类别 0.0: 6341839 像素点
    类别 1.0: 613865 像素点
    类别 2.0: 778040 像素点
    类别 3.0: 294567 像素点
    类别 5.0: 2694850 像素点
    类别 6.0: 16764 像素点
    类别 7.0: 587072 像素点
    类别 8.0: 148114 像素点
    类别 9.0: 56429 像素点
    类别 10.0: 2796 像素点
文件夹 QJGZ029 的像素统计结果：
    类别 0.0: 7243625 像素点
    类别 1.0: 555104 像素点
    类别 2.0: 704946 像素点
    类别 3.0: 245971 像素点
    类别 5.0: 2173521 像素点
    类别 6.0: 13386 像素点
    类别 7.0: 444020 像素点
    类别 8.0: 102923 像素点
    类别 9.0: 48753 像素点
    类别 10.0: 2087 像素点
文件夹 QJGZ030 的像素统计结果：
    类别 0.0: 7262869 像素点
    类别 1.0: 654986 像素点
    类别 2.0: 803149 像素点
    类别 3.0: 231822 像素点
    类别 5.0: 1966309 像素点
    类别 6.0: 13051 像素点
    类别 7.0: 463250 像素点
    类别 8.0: 85581 像素点
    类别 9.0: 51236 像素点
    类别 10.0: 2083 像素点
文件夹 QJGZ031 的像素统计结果：
    类别 0.0: 7577976 像素点
    类别 1.0: 536536 像素点
    类别 2.0: 699533 像素点
    类别 3.0: 187289 像素点
    类别 5.0: 1890794 像素点
    类别 6.0: 13008 像素点
    类别 7.0: 473549 像素点
    类别 8.0: 101736 像素点
    类别 9.0: 51953 像素点
    类别 10.0: 1962 像素点
文件夹 QJGZ032 的像素统计结果：
    类别 0.0: 6918488 像素点
    类别 1.0: 585248 像素点
    类别 2.0: 787269 像素点
    类别 3.0: 261589 像素点
    类别 5.0: 2254047 像素点
    类别 6.0: 11219 像素点
    类别 7.0: 500771 像素点
    类别 8.0: 159919 像素点
    类别 9.0: 53291 像素点
    类别 10.0: 2495 像素点
文件夹 QJGZ033 的像素统计结果：
    类别 0.0: 7808895 像素点
    类别 1.0: 525382 像素点
    类别 2.0: 686642 像素点
    类别 3.0: 182962 像素点
    类别 5.0: 1826303 像素点
    类别 6.0: 14158 像素点
    类别 7.0: 381708 像素点
    类别 8.0: 57299 像素点
    类别 9.0: 49132 像素点
    类别 10.0: 1855 像素点
文件夹 QJHK001 的像素统计结果：
    类别 0.0: 7829085 像素点
    类别 1.0: 538001 像素点
    类别 2.0: 751407 像素点
    类别 3.0: 266388 像素点
    类别 5.0: 2540743 像素点
    类别 6.0: 12480 像素点
    类别 7.0: 474490 像素点
    类别 8.0: 115146 像素点
    类别 9.0: 52330 像素点
    类别 10.0: 2842 像素点
文件夹 QJHK002 的像素统计结果：
    类别 0.0: 7842465 像素点
    类别 1.0: 510930 像素点
    类别 2.0: 662223 像素点
    类别 3.0: 352156 像素点
    类别 5.0: 2450590 像素点
    类别 6.0: 13792 像素点
    类别 7.0: 534250 像素点
    类别 8.0: 162939 像素点
    类别 9.0: 51107 像素点
    类别 10.0: 2460 像素点
文件夹 QJHK003 的像素统计结果：
    类别 0.0: 8117316 像素点
    类别 1.0: 534899 像素点
    类别 2.0: 681777 像素点
    类别 3.0: 243759 像素点
    类别 5.0: 2342608 像素点
    类别 6.0: 12901 像素点
    类别 7.0: 497823 像素点
    类别 8.0: 99580 像素点
    类别 9.0: 49971 像素点
    类别 10.0: 2278 像素点
文件夹 QJHK004 的像素统计结果：
    类别 0.0: 6667907 像素点
    类别 1.0: 572199 像素点
    类别 2.0: 718603 像素点
    类别 3.0: 281497 像素点
    类别 5.0: 2633341 像素点
    类别 6.0: 14928 像素点
    类别 7.0: 475676 像素点
    类别 8.0: 113054 像素点
    类别 9.0: 54064 像素点
    类别 10.0: 3067 像素点
文件夹 QJHK005 的像素统计结果：
    类别 0.0: 7860760 像素点
    类别 1.0: 542696 像素点
    类别 2.0: 717467 像素点
    类别 3.0: 293911 像素点
    类别 5.0: 2464055 像素点
    类别 6.0: 13509 像素点
    类别 7.0: 507465 像素点
    类别 8.0: 127620 像素点
    类别 9.0: 52784 像素点
    类别 10.0: 2645 像素点
文件夹 QJHK006 的像素统计结果：
    类别 0.0: 7308216 像素点
    类别 1.0: 509544 像素点
    类别 2.0: 673781 像素点
    类别 3.0: 254868 像素点
    类别 5.0: 2182295 像素点
    类别 6.0: 9983 像素点
    类别 7.0: 469420 像素点
    类别 8.0: 81713 像素点
    类别 9.0: 42231 像素点
    类别 10.0: 2285 像素点
文件夹 QJHK007 的像素统计结果：
    类别 0.0: 7990255 像素点
    类别 1.0: 589399 像素点
    类别 2.0: 721765 像素点
    类别 3.0: 322582 像素点
    类别 5.0: 2321817 像素点
    类别 6.0: 12977 像素点
    类别 7.0: 449223 像素点
    类别 8.0: 120771 像素点
    类别 9.0: 51314 像素点
    类别 10.0: 2809 像素点
文件夹 QJHK008 的像素统计结果：
    类别 0.0: 9085488 像素点
    类别 1.0: 492614 像素点
    类别 2.0: 614783 像素点
    类别 3.0: 211087 像素点
    类别 5.0: 1744359 像素点
    类别 6.0: 8272 像素点
    类别 7.0: 309561 像素点
    类别 8.0: 68261 像素点
    类别 9.0: 46633 像素点
    类别 10.0: 1854 像素点
文件夹 QJHK009 的像素统计结果：
    类别 0.0: 9012621 像素点
    类别 1.0: 469900 像素点
    类别 2.0: 621987 像素点
    类别 3.0: 161425 像素点
    类别 5.0: 1811893 像素点
    类别 6.0: 13736 像素点
    类别 7.0: 402829 像素点
    类别 8.0: 47513 像素点
    类别 9.0: 39421 像素点
    类别 10.0: 1587 像素点
文件夹 QJHK010 的像素统计结果：
    类别 0.0: 7796294 像素点
    类别 1.0: 470903 像素点
    类别 2.0: 641043 像素点
    类别 3.0: 209836 像素点
    类别 5.0: 1929455 像素点
    类别 6.0: 11614 像素点
    类别 7.0: 347328 像素点
    类别 8.0: 82049 像素点
    类别 9.0: 43834 像素点
    类别 10.0: 1980 像素点
文件夹 QJSH001 的像素统计结果：
    类别 0.0: 11727651 像素点
    类别 1.0: 777115 像素点
    类别 2.0: 955492 像素点
    类别 3.0: 313773 像素点
    类别 5.0: 2671798 像素点
    类别 6.0: 19483 像素点
    类别 7.0: 643119 像素点
    类别 8.0: 81789 像素点
    类别 9.0: 59318 像素点
    类别 10.0: 2814 像素点
文件夹 QJSH002 的像素统计结果：
    类别 0.0: 12287943 像素点
    类别 1.0: 756590 像素点
    类别 2.0: 906625 像素点
    类别 3.0: 260353 像素点
    类别 5.0: 2379917 像素点
    类别 6.0: 16930 像素点
    类别 7.0: 510907 像素点
    类别 8.0: 70029 像素点
    类别 9.0: 60755 像素点
    类别 10.0: 2303 像素点
文件夹 QJSH003 的像素统计结果：
    类别 0.0: 11172295 像素点
    类别 1.0: 795101 像素点
    类别 2.0: 1039427 像素点
    类别 3.0: 367713 像素点
    类别 5.0: 3008875 像素点
    类别 6.0: 16627 像素点
    类别 7.0: 635639 像素点
    类别 8.0: 144959 像素点
    类别 9.0: 68471 像素点
    类别 10.0: 3245 像素点
文件夹 QJSH004 的像素统计结果：
    类别 0.0: 11673327 像素点
    类别 1.0: 761397 像素点
    类别 2.0: 997206 像素点
    类别 3.0: 354683 像素点
    类别 5.0: 2695997 像素点
    类别 6.0: 14932 像素点
    类别 7.0: 523265 像素点
    类别 8.0: 160266 像素点
    类别 9.0: 67926 像素点
    类别 10.0: 3353 像素点
文件夹 QJSH005 的像素统计结果：
    类别 0.0: 11521167 像素点
    类别 1.0: 686591 像素点
    类别 2.0: 808279 像素点
    类别 3.0: 373645 像素点
    类别 5.0: 3106217 像素点
    类别 6.0: 14341 像素点
    类别 7.0: 597931 像素点
    类别 8.0: 80586 像素点
    类别 9.0: 61096 像素点
    类别 10.0: 2499 像素点
文件夹 QJSH006 的像素统计结果：
    类别 0.0: 11991611 像素点
    类别 1.0: 812013 像素点
    类别 2.0: 1060049 像素点
    类别 3.0: 254067 像素点
    类别 5.0: 2367123 像素点
    类别 6.0: 20589 像素点
    类别 7.0: 529139 像素点
    类别 8.0: 143020 像素点
    类别 9.0: 72063 像素点
    类别 10.0: 2678 像素点
文件夹 QJSH007 的像素统计结果：
    类别 0.0: 11607520 像素点
    类别 1.0: 733391 像素点
    类别 2.0: 873945 像素点
    类别 3.0: 361748 像素点
    类别 5.0: 2851134 像素点
    类别 6.0: 14691 像素点
    类别 7.0: 618127 像素点
    类别 8.0: 128858 像素点
    类别 9.0: 59362 像素点
    类别 10.0: 3576 像素点
文件夹 QJSH008 的像素统计结果：
    类别 0.0: 11698103 像素点
    类别 1.0: 794687 像素点
    类别 2.0: 957375 像素点
    类别 3.0: 357838 像素点
    类别 5.0: 2759384 像素点
    类别 6.0: 11014 像素点
    类别 7.0: 517651 像素点
    类别 8.0: 94941 像素点
    类别 9.0: 58241 像素点
    类别 10.0: 3118 像素点
文件夹 QJSH009 的像素统计结果：
    类别 0.0: 7490877 像素点
    类别 1.0: 489622 像素点
    类别 2.0: 632730 像素点
    类别 3.0: 230810 像素点
    类别 5.0: 2062273 像素点
    类别 6.0: 12612 像素点
    类别 7.0: 474632 像素点
    类别 8.0: 98244 像素点
    类别 9.0: 40723 像素点
    类别 10.0: 1813 像素点
文件夹 QJSH010 的像素统计结果：
    类别 0.0: 10576195 像素点
    类别 1.0: 732658 像素点
    类别 2.0: 1047493 像素点
    类别 3.0: 363924 像素点
    类别 5.0: 3446957 像素点
    类别 6.0: 23661 像素点
    类别 7.0: 774973 像素点
    类别 8.0: 221065 像素点
    类别 9.0: 62274 像素点
    类别 10.0: 3152 像素点
文件夹 QJSH011 的像素统计结果：
    类别 0.0: 11410979 像素点
    类别 1.0: 802068 像素点
    类别 2.0: 1017385 像素点
    类别 3.0: 294246 像素点
    类别 5.0: 2920981 像素点
    类别 6.0: 19992 像素点
    类别 7.0: 561566 像素点
    类别 8.0: 154363 像素点
    类别 9.0: 68005 像素点
    类别 10.0: 2767 像素点
文件夹 QJSH012 的像素统计结果：
    类别 0.0: 11368908 像素点
    类别 1.0: 696197 像素点
    类别 2.0: 960882 像素点
    类别 3.0: 281059 像素点
    类别 5.0: 3034961 像素点
    类别 6.0: 16214 像素点
    类别 7.0: 657251 像素点
    类别 8.0: 171403 像素点
    类别 9.0: 62580 像素点
    类别 10.0: 2897 像素点
文件夹 QJSH013 的像素统计结果：
    类别 0.0: 12084026 像素点
    类别 1.0: 739573 像素点
    类别 2.0: 982028 像素点
    类别 3.0: 236700 像素点
    类别 5.0: 2525534 像素点
    类别 6.0: 16068 像素点
    类别 7.0: 529273 像素点
    类别 8.0: 74425 像素点
    类别 9.0: 62518 像素点
    类别 10.0: 2207 像素点
文件夹 QJSH014 的像素统计结果：
    类别 0.0: 11524399 像素点
    类别 1.0: 787346 像素点
    类别 2.0: 1041416 像素点
    类别 3.0: 317474 像素点
    类别 5.0: 2743398 像素点
    类别 6.0: 20530 像素点
    类别 7.0: 599206 像素点
    类别 8.0: 148778 像素点
    类别 9.0: 66223 像素点
    类别 10.0: 3582 像素点
文件夹 QJSH015 的像素统计结果：
    类别 0.0: 11977266 像素点
    类别 1.0: 752097 像素点
    类别 2.0: 986143 像素点
    类别 3.0: 220574 像素点
    类别 5.0: 2573310 像素点
    类别 6.0: 18456 像素点
    类别 7.0: 523989 像素点
    类别 8.0: 141550 像素点
    类别 9.0: 57175 像素点
    类别 10.0: 1792 像素点
文件夹 QJSH016 的像素统计结果：
    类别 0.0: 5802096 像素点
    类别 1.0: 650973 像素点
    类别 2.0: 781373 像素点
    类别 3.0: 202384 像素点
    类别 5.0: 2369792 像素点
    类别 6.0: 16874 像素点
    类别 7.0: 522473 像素点
    类别 8.0: 83871 像素点
    类别 9.0: 53770 像素点
    类别 10.0: 2154 像素点
文件夹 QJSH017 的像素统计结果：
    类别 0.0: 7831882 像素点
    类别 1.0: 517924 像素点
    类别 2.0: 710081 像素点
    类别 3.0: 303780 像素点
    类别 5.0: 2168213 像素点
    类别 6.0: 12657 像素点
    类别 7.0: 478216 像素点
    类别 8.0: 118407 像素点
    类别 9.0: 46610 像素点
    类别 10.0: 1926 像素点
文件夹 QJSH018 的像素统计结果：
    类别 0.0: 11507225 像素点
    类别 1.0: 720032 像素点
    类别 2.0: 933550 像素点
    类别 3.0: 306005 像素点
    类别 5.0: 2891365 像素点
    类别 6.0: 22316 像素点
    类别 7.0: 636412 像素点
    类别 8.0: 172686 像素点
    类别 9.0: 59420 像素点
    类别 10.0: 3341 像素点
文件夹 QJSH019 的像素统计结果：
    类别 0.0: 10909097 像素点
    类别 1.0: 810832 像素点
    类别 2.0: 1027019 像素点
    类别 3.0: 314552 像素点
    类别 5.0: 3250675 像素点
    类别 6.0: 20881 像素点
    类别 7.0: 703654 像素点
    类别 8.0: 146246 像素点
    类别 9.0: 65939 像素点
    类别 10.0: 3457 像素点
文件夹 QJSH020 的像素统计结果：
    类别 0.0: 11877227 像素点
    类别 1.0: 671234 像素点
    类别 2.0: 900722 像素点
    类别 3.0: 319213 像素点
    类别 5.0: 2601887 像素点
    类别 6.0: 18273 像素点
    类别 7.0: 598053 像素点
    类别 8.0: 192092 像素点
    类别 9.0: 70736 像素点
    类别 10.0: 2915 像素点
文件夹 QJSH021 的像素统计结果：
    类别 0.0: 11130337 像素点
    类别 1.0: 769578 像素点
    类别 2.0: 1020981 像素点
    类别 3.0: 318703 像素点
    类别 5.0: 3036784 像素点
    类别 6.0: 16915 像素点
    类别 7.0: 689198 像素点
    类别 8.0: 193515 像素点
    类别 9.0: 73091 像素点
    类别 10.0: 3250 像素点
文件夹 QJSH022 的像素统计结果：
    类别 0.0: 12110116 像素点
    类别 1.0: 687601 像素点
    类别 2.0: 933767 像素点
    类别 3.0: 268022 像素点
    类别 5.0: 2506482 像素点
    类别 6.0: 21871 像素点
    类别 7.0: 534488 像素点
    类别 8.0: 121125 像素点
    类别 9.0: 66233 像素点
    类别 10.0: 2647 像素点
文件夹 QJSH023 的像素统计结果：
    类别 0.0: 12023121 像素点
    类别 1.0: 750103 像素点
    类别 2.0: 986743 像素点
    类别 3.0: 314840 像素点
    类别 5.0: 2479570 像素点
    类别 6.0: 20046 像素点
    类别 7.0: 509142 像素点
    类别 8.0: 99375 像素点
    类别 9.0: 67068 像素点
    类别 10.0: 2344 像素点
文件夹 QJSH024 的像素统计结果：
    类别 0.0: 10964557 像素点
    类别 1.0: 780812 像素点
    类别 2.0: 1008859 像素点
    类别 3.0: 313642 像素点
    类别 5.0: 3301945 像素点
    类别 6.0: 18949 像素点
    类别 7.0: 652422 像素点
    类别 8.0: 138371 像素点
    类别 9.0: 70020 像素点
    类别 10.0: 2775 像素点
文件夹 QJSH025 的像素统计结果：
    类别 0.0: 11580829 像素点
    类别 1.0: 759854 像素点
    类别 2.0: 973740 像素点
    类别 3.0: 306801 像素点
    类别 5.0: 2857960 像素点
    类别 6.0: 19234 像素点
    类别 7.0: 526061 像素点
    类别 8.0: 158489 像素点
    类别 9.0: 66738 像素点
    类别 10.0: 2646 像素点
文件夹 QJSH026 的像素统计结果：
    类别 0.0: 11258039 像素点
    类别 1.0: 819795 像素点
    类别 2.0: 1053635 像素点
    类别 3.0: 333380 像素点
    类别 5.0: 2832646 像素点
    类别 6.0: 19110 像素点
    类别 7.0: 681912 像素点
    类别 8.0: 180116 像素点
    类别 9.0: 70815 像素点
    类别 10.0: 2904 像素点
文件夹 QJSH027 的像素统计结果：
    类别 0.0: 7338919 像素点
    类别 1.0: 682210 像素点
    类别 2.0: 928796 像素点
    类别 3.0: 343493 像素点
    类别 5.0: 2509309 像素点
    类别 6.0: 13954 像素点
    类别 7.0: 483069 像素点
    类别 8.0: 221652 像素点
    类别 9.0: 58666 像素点
    类别 10.0: 2844 像素点
文件夹 QJSH028 的像素统计结果：
    类别 0.0: 11132165 像素点
    类别 1.0: 762163 像素点
    类别 2.0: 996737 像素点
    类别 3.0: 366993 像素点
    类别 5.0: 3002570 像素点
    类别 6.0: 15583 像素点
    类别 7.0: 795163 像素点
    类别 8.0: 111616 像素点
    类别 9.0: 66490 像素点
    类别 10.0: 2872 像素点
文件夹 QJSH029 的像素统计结果：
    类别 0.0: 11037615 像素点
    类别 1.0: 710978 像素点
    类别 2.0: 947544 像素点
    类别 3.0: 312426 像素点
    类别 5.0: 3304594 像素点
    类别 6.0: 17665 像素点
    类别 7.0: 745251 像素点
    类别 8.0: 111835 像素点
    类别 9.0: 61641 像素点
    类别 10.0: 2803 像素点
文件夹 QJSH030 的像素统计结果：
    类别 0.0: 11434346 像素点
    类别 1.0: 742263 像素点
    类别 2.0: 957122 像素点
    类别 3.0: 322127 像素点
    类别 5.0: 3035055 像素点
    类别 6.0: 18293 像素点
    类别 7.0: 586991 像素点
    类别 8.0: 86748 像素点
    类别 9.0: 66570 像素点
    类别 10.0: 2837 像素点
文件夹 QJSH031 的像素统计结果：
    类别 0.0: 12176204 像素点
    类别 1.0: 756738 像素点
    类别 2.0: 1015251 像素点
    类别 3.0: 253002 像素点
    类别 5.0: 2343579 像素点
    类别 6.0: 17589 像素点
    类别 7.0: 443632 像素点
    类别 8.0: 172651 像素点
    类别 9.0: 70903 像素点
    类别 10.0: 2803 像素点
文件夹 QJSH032 的像素统计结果：
    类别 0.0: 11507674 像素点
    类别 1.0: 725063 像素点
    类别 2.0: 921697 像素点
    类别 3.0: 313531 像素点
    类别 5.0: 2898533 像素点
    类别 6.0: 20082 像素点
    类别 7.0: 623432 像素点
    类别 8.0: 171029 像素点
    类别 9.0: 68510 像素点
    类别 10.0: 2801 像素点
文件夹 QJSH033 的像素统计结果：
    类别 0.0: 7372410 像素点
    类别 1.0: 606093 像素点
    类别 2.0: 902077 像素点
    类别 3.0: 347145 像素点
    类别 5.0: 1628274 像素点
    类别 6.0: 14320 像素点
    类别 7.0: 509609 像素点
    类别 8.0: 101850 像素点
    类别 9.0: 49927 像素点
    类别 10.0: 2631 像素点
文件夹 QJSH034 的像素统计结果：
    类别 0.0: 11058227 像素点
    类别 1.0: 805071 像素点
    类别 2.0: 937843 像素点
    类别 3.0: 331252 像素点
    类别 5.0: 3196858 像素点
    类别 6.0: 15941 像素点
    类别 7.0: 731411 像素点
    类别 8.0: 101692 像素点
    类别 9.0: 70326 像素点
    类别 10.0: 3731 像素点
文件夹 QJSH035 的像素统计结果：
    类别 0.0: 12183039 像素点
    类别 1.0: 650132 像素点
    类别 2.0: 890883 像素点
    类别 3.0: 303197 像素点
    类别 5.0: 2449079 像素点
    类别 6.0: 15414 像素点
    类别 7.0: 543435 像素点
    类别 8.0: 154318 像素点
    类别 9.0: 59935 像素点
    类别 10.0: 2920 像素点
文件夹 QJSH036 的像素统计结果：
    类别 0.0: 11774933 像素点
    类别 1.0: 807438 像素点
    类别 2.0: 1019395 像素点
    类别 3.0: 280091 像素点
    类别 5.0: 2520137 像素点
    类别 6.0: 14694 像素点
    类别 7.0: 673503 像素点
    类别 8.0: 93512 像素点
    类别 9.0: 65163 像素点
    类别 10.0: 3486 像素点
文件夹 QJSH037 的像素统计结果：
    类别 0.0: 11468132 像素点
    类别 1.0: 765268 像素点
    类别 2.0: 967037 像素点
    类别 3.0: 342481 像素点
    类别 5.0: 2898457 像素点
    类别 6.0: 16591 像素点
    类别 7.0: 596586 像素点
    类别 8.0: 127448 像素点
    类别 9.0: 66748 像素点
    类别 10.0: 3604 像素点
文件夹 QJSH038 的像素统计结果：
    类别 0.0: 11832603 像素点
    类别 1.0: 754007 像素点
    类别 2.0: 951287 像素点
    类别 3.0: 330768 像素点
    类别 5.0: 2649014 像素点
    类别 6.0: 15481 像素点
    类别 7.0: 553317 像素点
    类别 8.0: 95674 像素点
    类别 9.0: 67118 像素点
    类别 10.0: 3083 像素点
文件夹 QJSH039 的像素统计结果：
    类别 0.0: 11250429 像素点
    类别 1.0: 820211 像素点
    类别 2.0: 1013718 像素点
    类别 3.0: 348500 像素点
    类别 5.0: 2926111 像素点
    类别 6.0: 20286 像素点
    类别 7.0: 656555 像素点
    类别 8.0: 143583 像素点
    类别 9.0: 69715 像素点
    类别 10.0: 3244 像素点
文件夹 QJSH040 的像素统计结果：
    类别 0.0: 11181683 像素点
    类别 1.0: 854027 像素点
    类别 2.0: 1089987 像素点
    类别 3.0: 399052 像素点
    类别 5.0: 2700260 像素点
    类别 6.0: 12778 像素点
    类别 7.0: 740637 像素点
    类别 8.0: 195736 像素点
    类别 9.0: 75099 像素点
    类别 10.0: 3093 像素点
